,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
θ_P[0],0.195,0.047,0.101,0.284,0.001,0.001,2661.0,2944.0,1.0
θ_P[1],0.262,0.066,0.13,0.388,0.002,0.001,1472.0,2059.0,1.0
θ_O[0],-0.009,0.051,-0.107,0.093,0.001,0.001,1550.0,1848.0,1.0
θ_O[1],-0.016,0.072,-0.156,0.122,0.002,0.001,1313.0,1918.0,1.0
θ_O[2],-0.086,0.073,-0.231,0.048,0.002,0.002,1041.0,1655.0,1.0
"β_P[0, 0]",0.03,0.068,-0.106,0.158,0.001,0.001,4354.0,2620.0,1.0
"β_P[0, 1]",0.439,0.107,0.232,0.641,0.002,0.001,3132.0,2569.0,1.0
"β_P[1, 0]",0.193,0.083,0.027,0.35,0.001,0.001,4831.0,2754.0,1.0
"β_P[1, 1]",0.299,0.11,0.094,0.525,0.002,0.001,3078.0,2844.0,1.0
"β_P[2, 0]",-1.214,0.071,-1.346,-1.074,0.001,0.001,5079.0,3258.0,1.0
"β_P[2, 1]",0.11,0.087,-0.076,0.267,0.001,0.001,3524.0,2716.0,1.0
"β_P[3, 0]",0.44,0.076,0.288,0.584,0.001,0.001,5568.0,2745.0,1.0
"β_P[3, 1]",0.127,0.106,-0.081,0.333,0.002,0.002,2966.0,2279.0,1.0
"β_P[4, 0]",0.036,0.07,-0.104,0.169,0.001,0.001,5273.0,3062.0,1.0
"β_P[4, 1]",0.763,0.091,0.584,0.938,0.002,0.001,3335.0,3133.0,1.0
"β_P[5, 0]",0.658,0.078,0.508,0.81,0.001,0.001,5054.0,2309.0,1.0
"β_P[5, 1]",0.182,0.107,-0.016,0.395,0.002,0.001,2735.0,3091.0,1.0
"β_P[6, 0]",0.062,0.096,-0.139,0.243,0.001,0.001,4768.0,3408.0,1.0
"β_P[6, 1]",0.112,0.104,-0.092,0.311,0.002,0.001,3147.0,3270.0,1.0
"β_P[7, 0]",0.609,0.091,0.433,0.794,0.001,0.001,4021.0,3141.0,1.0
"β_P[7, 1]",0.166,0.114,-0.064,0.38,0.002,0.001,3463.0,3065.0,1.0
"β_P[8, 0]",0.507,0.102,0.313,0.715,0.001,0.001,4825.0,3067.0,1.0
"β_P[8, 1]",0.152,0.115,-0.068,0.38,0.002,0.001,3209.0,3131.0,1.0
"β_P[9, 0]",0.314,0.103,0.119,0.522,0.002,0.001,4522.0,3165.0,1.0
"β_P[9, 1]",0.275,0.118,0.037,0.497,0.002,0.002,3092.0,2694.0,1.0
"β_P[10, 0]",0.254,0.102,0.042,0.444,0.001,0.001,4956.0,2839.0,1.0
"β_P[10, 1]",0.315,0.111,0.101,0.536,0.002,0.001,3096.0,3037.0,1.0
"β_P[11, 0]",0.468,0.073,0.328,0.614,0.001,0.001,4117.0,3413.0,1.0
"β_P[11, 1]",0.226,0.108,0.022,0.442,0.002,0.001,2768.0,3012.0,1.0
"β_O[0, 0]",0.525,0.062,0.401,0.647,0.001,0.001,5108.0,2851.0,1.0
"β_O[0, 1]",0.112,0.107,-0.084,0.338,0.002,0.002,2729.0,2923.0,1.0
"β_O[0, 2]",-0.014,0.132,-0.264,0.248,0.003,0.002,1782.0,2726.0,1.0
"β_O[1, 0]",-0.096,0.088,-0.27,0.073,0.002,0.001,3302.0,2129.0,1.0
"β_O[1, 1]",-0.205,0.108,-0.41,0.006,0.002,0.002,2450.0,2907.0,1.0
